Personaje,Frase
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Ralph Wiggum,They taste like...burning.
Otto,"Oh, wow, windows. I don't think I could afford this place."
Moe Szyslak,"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff."
Moe Szyslak,"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!"
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Dr. Nick,"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon."
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
Abe Simpson,"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you."
Marge Simpson,"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it."
Homer Simpson,I hope I didn't brain my damage.
Marge Simpson,I'm sleeping in the bath tub.
Troy McClure,Ahh! Sweet liquor eases the pain.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Homer Simpson,"And this is the snack holder where I can put my beverage or, if you will, cupcake."
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Lisa Simpson,"Shut up, brain. I got friends now. I don't need you anymore."
Bart Simpson,Eat my shorts
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Bart Simpson,You're turning me into a criminal when all I want to be is a petty thug.
Troy McClure,Ahh! Sweet liquor eases the pain.
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Moe Szyslak,"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!"
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Duffman,Oh Yeah!
Ralph Wiggum,"Hi, Super Nintendo Chalmers!"
Milhouse Van Houten,But my mom says I'm cool.
Groundskeeper Willie,"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!"
Waylon Smithers,I think women and seamen don't mix
Groundskeeper Willie,"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!"
Homer Simpson,"In theory, Communism works! In theory."
Ralph Wiggum,"Oh boy, sleep! That's where I'm a viking!"
