personaje,Frase
Bart Simpson,Eat my shorts
Moe Szyslak,"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff."
Ralph Wiggum,"Hi, Super Nintendo Chalmers!"
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Abe Simpson,"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you."
Chief Wiggum,"Hey, I'm the chief here. Bake him away, toys."
Troy McClure,Ahh! Sweet liquor eases the pain.
Bart Simpson,Eat my shorts
Waylon Smithers,I think women and seamen don't mix
Chief Wiggum,When I look at people I don't see colors; I just see crackpot religions.
Comic Book Guy,"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world."
Bart Simpson,Eat my shorts
Mr. Burns,Doughnuts? I told you I don't like ethnic food
Homer Simpson,"In theory, Communism works! In theory."
Homer Simpson,"And this is the snack holder where I can put my beverage or, if you will, cupcake."
Principal Skinner,"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it."
Dr. Nick,Inflammable means flammable? What a country!
Abe Simpson,Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Milhouse Van Houten,"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?"
Otto,"Oh, wow, windows. I don't think I could afford this place."
Moe Szyslak,Yeah. Call this an unfair generalization if you must.. but old people are no good at everything
Rainier Wolfcastle,My eyes! The goggles do nothing!
Ralph Wiggum,Me fail English? That's unpossible.
Ralph Wiggum,They taste like...burning.
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Bart Simpson,Eat my shorts
Waylon Smithers,I think women and seamen don't mix
Dr. Nick,"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon."
Ralph Wiggum,That's where I saw the leprechaun...He told me to burn things.
Apu Nahasapeemapetilon,Thank you. Come again.
Homer Simpson,I believe the children are the future... Unless we stop them now!
Homer Simpson,"In theory, Communism works! In theory."
Milhouse Van Houten,"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?"
Ralph Wiggum,"Hi, Super Nintendo Chalmers!"
Homer Simpson,"Gah, stupid sexy Flanders!"
Duffman,Oh Yeah!
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Waylon Smithers,I think women and seamen don't mix
Ralph Wiggum,Me fail English? That's unpossible.
Homer Simpson,"Oh, so they have Internet on computers now!"
Ralph Wiggum,"Hi, Super Nintendo Chalmers!"
Dr. Nick,"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon."
Rainier Wolfcastle,My eyes! The goggles do nothing!
Moe Szyslak,Yeah. Call this an unfair generalization if you must.. but old people are no good at everything
Bart Simpson,Nothing you say can upset us. We're the MTV generation.
Moe Szyslak,Yeah. Call this an unfair generalization if you must.. but old people are no good at everything
Lisa Simpson,These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.
Homer Simpson,"In theory, Communism works! In theory."
Marge Simpson,I'm sleeping in the bath tub.
Milhouse Van Houten,"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?"
Nelson Muntz,"Shoplifting is a victimless crime, like punching someone in the dark."
Milhouse Van Houten,But my mom says I'm cool.
Moe Szyslak,Yeah. Call this an unfair generalization if you must.. but old people are no good at everything
Homer Simpson,"Gah, stupid sexy Flanders!"
Frank Grimes,I live in a single room above a bowling alley...and below another bowling alley.
Homer Simpson,I hope I didn't brain my damage.
Chief Wiggum,"Hey, I'm the chief here. Bake him away, toys."
