personaje,Frase
Homer Simpson,"In theory, Communism works! In theory."
Homer Simpson,"And this is the snack holder where I can put my beverage or, if you will, cupcake."
Homer Simpson,Facts are meaningless. You could use facts to prove anything that's even remotely true.
Homer Simpson,I believe the children are the future... Unless we stop them now!
Homer Simpson,"In theory, Communism works! In theory."
Homer Simpson,"Gah, stupid sexy Flanders!"
Homer Simpson,"Oh, so they have Internet on computers now!"
Homer Simpson,"In theory, Communism works! In theory."
Homer Simpson,"Gah, stupid sexy Flanders!"
Homer Simpson,I hope I didn't brain my damage.
