Palabra,Cuenta
ahh,3
sweet,3
liquor,3
eases,3
the,14
pain,3
back,3
in,7
edinburg,3
we,8
had,3
a,16
coal,3
miners,3
strike,3
all,5
wanted,3
were,3
hats,3
with,13
wee,3
light,3
on,6
top,3
then,3
one,8
day,3
mine,3
collapsed,3
no,4
made,3
it,3
out,5
alive,3
not,6
even,5
willie,3
gah,1
stupid,1
sexy,1
flanders,1
they,3
taste,1
likeburning,1
i,24
live,1
single,1
room,1
above,1
bowling,2
alleyand,1
below,1
another,2
alley,1
thank,1
you,13
come,1
again,1
doughnuts,2
told,2
don't,3
like,5
ethnic,2
food,2
well,6
i'm,9
better,3
than,4
dirt,9
most,3
kinds,3
of,7
mean,3
that,12
fancy,3
store,3
bought,3
stuffs,3
loaded,3
nutrients,3
can't,5
compete,3
stuff,3
marriage,1
is,6
coffin,1
and,6
each,1
kid,1
nail,1
me,5
fail,2
english,2
that's,3
unpossible,2
ah,2
be,3
creative,2
instead,4
making,2
sandwhiches,2
bread,2
use,6
poptarts,2
chewing,2
gum,2
chew,2
bacon,2
but,2
my,8
mom,1
says,1
cool,1
have,4
meeting,2
doesn't,2
end,2
us,2
digging,2
up,3
corpse,2
hope,1
didn't,1
brain,2
damage,1
when,3
catch,2
gonna,5
pull,2
your,6
eyes,3
stick,2
'em,2
down,2
pants,2
so,4
can,3
watch,2
kick,2
crap,2
outta,2
okay,2
next,2
tongue,2
to,4
paint,2
boat,2
you're,1
turning,1
into,1
criminal,1
want,1
petty,1
thug,1
this,3
bed,1
for,1
sleeping,1
eating,1
maybe,1
building,1
little,1
fort,1
shoplifting,1
victimless,1
crime,1
punching,1
someone,1
dark,1
last,1
night's,1
itchy,1
,1
scratchy,1
was,2
without,1
doubt,1
worst,1
episode,1
ever,2
rest,1
assured,1
internet,3
within,1
minutes,1
registering,1
disgust,1
throughout,1
world,1
these,1
are,3
only,1
friendsgrownup,1
nerds,1
gore,1
vidal,1
he's,1
kissed,1
more,1
boys,1
will,2
shut,1
got,1
friends,1
now,3
need,1
anymore,1
snack,1
holder,1
where,1
put,1
beverage,1
or,1
if,2
cupcake,1
goggles,1
do,1
nothing,1
oh,2
computers,2
yeah,1
call,1
an,1
unfair,1
generalization,1
must,1
old,1
people,1
good,1
at,1
everything,1
theory,2
communism,1
works,1
facts,2
meaningless,1
could,1
prove,1
anything,1
remotely,1
true,1
