Palabra,Cuenta
ahh,1
sweet,1
liquor,1
eases,1
the,12
pain,1
when,2
i,12
catch,1
you,6
i'm,3
gonna,2
pull,1
out,1
your,3
eyes,1
and,5
stick,1
'em,1
down,1
pants,1
so,1
can,1
watch,1
me,4
kick,1
crap,1
outta,1
okay,1
next,1
use,1
tongue,1
to,9
paint,1
my,5
boat,1
shoplifting,1
is,3
a,10
victimless,1
crime,1
like,2
punching,1
someone,1
in,2
dark,1
remember,2
time,2
he,2
ate,2
goldfish,4
lied,2
said,2
never,2
had,2
then,2
why,4
did,4
have,4
bowl,4
bart,2
hello,1
simpson,1
riding,1
bus,1
today,1
becuase,2
mother,1
hid,1
car,1
keys,1
punish,1
for,1
talking,1
woman,1
on,1
phone,1
she,1
was,1
right,1
do,1
it,2
live,1
single,1
room,1
above,1
bowling,2
alleyand,1
below,1
another,1
alley,1
inflammable,1
means,1
flammable,1
what,1
country,1
don't,2
want,2
sound,1
killjoy,1
but,2
this,2
not,1
taste,1
think,1
anyone,1
else,1
should,1
be,2
allowed,1
enjoy,1
yeah,1
call,1
an,1
unfair,1
generalization,1
if,1
must,1
old,1
people,1
are,1
no,1
good,1
at,1
everything,1
you're,1
turning,1
into,1
criminal,1
all,1
petty,1
thug,1
that's,1
where,1
saw,1
leprechaunhe,1
told,1
burn,1
things,1
