Palabra,Cuenta
yeah,1
call,1
this,4
an,1
unfair,1
generalization,1
if,3
you,5
must,1
but,3
old,1
people,1
are,1
no,2
good,1
at,1
everything,1
marriage,1
is,5
like,2
a,8
coffin,1
and,7
each,1
kid,1
another,2
nail,1
the,13
snack,2
holder,2
where,2
i,13
can,2
put,2
my,10
beverage,2
or,2
will,2
cupcake,2
remember,1
time,1
he,1
ate,1
goldfish,2
lied,1
said,1
never,1
had,2
then,2
why,2
did,2
have,3
bowl,2
bart,1
don't,3
want,1
to,3
sound,1
killjoy,1
becuase,1
not,2
taste,2
think,2
anyone,1
else,1
should,1
be,1
allowed,1
enjoy,1
it,2
ahh,2
sweet,2
liquor,2
eases,2
pain,2
by,1
chilling,1
loins,1
increase,1
chances,1
of,1
impregnating,1
wife,1
last,1
night's,1
'itchy,1
scratchy',1
was,2
without,1
doubt,1
worst,1
episode,1
ever,1
rest,1
assured,1
that,1
on,3
internet,2
within,1
minutes,1
registering,1
disgust,1
throughout,1
world,1
women,1
seamen,1
mix,1
eat,1
shorts,1
hope,1
didn't,1
brain,1
damage,1
mom,1
says,1
i'm,2
cool,1
they,2
likeburning,1
oh,1
so,1
computers,1
now,1
hey,1
chief,1
here,1
bake,1
him,1
away,1
toys,1
live,1
in,2
single,1
room,1
above,1
bowling,2
alleyand,1
below,1
alley,1
back,1
edinburg,1
we,2
coal,1
miners,1
strike,1
all,1
wanted,1
were,1
hats,1
with,1
wee,1
light,1
top,1
one,2
day,1
mine,1
collapsed,1
made,1
out,1
alive,1
even,1
willie,1
thank,1
come,1
again,1
