Palabra,Cuenta
facts,2
are,1
meaningless,1
you,1
could,1
use,2
to,1
prove,1
anything,1
that's,2
even,1
remotely,1
true,1
oh,1
boy,1
sleep,1
where,1
i'm,2
a,2
viking,1
ah,1
be,1
creative,1
instead,2
of,3
making,1
sandwhiches,1
with,3
bread,1
poptarts,1
chewing,1
gum,1
chew,1
bacon,1
they,1
taste,1
likeburning,1
marriage,1
is,2
like,1
coffin,1
and,1
each,1
kid,1
another,1
nail,1
well,2
better,1
than,1
dirt,3
most,1
kinds,1
i,3
mean,1
not,1
that,3
fancy,1
store,1
bought,1
stuffs,1
loaded,1
nutrients,1
can't,1
compete,1
stuff,1
eat,1
my,1
shorts,1
